customer_city,city_rank
lagoa grande,1131
itaguacu,1132
neropolis,1133
juquia,1134
campanha,1135
santa juliana,1136
colider,1137
nepomuceno,1138
hidrolandia,1139
paco do lumiar,1140
garibaldi,1141
palestina,1142
realeza,1143
jeceaba,1144
medeiros neto,1145
nova petropolis,1146
faxinal,1147
saltinho,1148
trancoso,1149
primeiro de maio,1150
rio maria,1151
sao cristovao,1152
rio acima,1153
martins soares,1154
mozarlandia,1155
benedito novo,1156
morro da fumaca,1157
sao jeronimo,1158
campo ere,1159
canaa dos carajas,1160
pontes e lacerda,1161
canapolis,1162
penedo,1163
antonio prado,1164
valparaiso,1165
cajobi,1166
porto nacional,1167
arraial d'ajuda,1168
taiuva,1169
sao gabriel do oeste,1170
itambacuri,1171
sao felix do xingu,1172
ipanema,1173
indiara,1174
eldorado,1175
pinhalao,1176
cidade ocidental,1177
campo maior,1178
cajuru,1179
goias,1180
itaju,1181
barra do tarrachil,1182
sao goncalo do sapucai,1183
entre rios de minas,1184
sao goncalo do rio abaixo,1185
guarani,1186
botelhos,1187
bom jesus do tocantins,1188
itacare,1189
crateus,1190
pinheiros,1191
pombal,1192
cedral,1193
santa cruz cabralia,1194
luis antonio,1195
trajano de moraes,1196
alpinopolis,1197
santa albertina,1198
rodeio,1199
acreuna,1200
morro do chapeu,1201
santa barbara d oeste,1202
camocim,1203
ibotirama,1204
panorama,1205
schroeder,1206
tres fronteiras,1207
amambai,1208
itapoa,1209
porto belo,1210
paraopeba,1211
apiuna,1212
monte santo de minas,1213
sao bento do sapucai,1214
itobi,1215
serafina correa,1216
dianopolis,1217
rio do pires,1218
monte alegre de minas,1219
borborema,1220
cristina,1221
goianira,1222
alfredo chaves,1223
marilandia,1224
jumirim,1225
aracuai,1226
joao neiva,1227
sanclerlandia,1228
piritiba,1229
bocaina,1230
santa branca,1231
torrinha,1232
monte belo,1233
bananal,1234
itambe,1235
teixeiras,1236
bady bassitt,1237
tupancireta,1238
itabera,1239
pirapetinga,1240
miracatu,1241
nova europa,1242
pirangi,1243
tocantinopolis,1244
pimenta bueno,1245
igaracu do tiete,1246
ipiabas,1247
jaiba,1248
horizontina,1249
santa rita de caldas,1250
